op_id,model_family,operator,phase,shape_or_role,attr_and_class,definition_or_instantiation,callsite,ultimate_kernel_or_api,kernel_impl_location,dispatch_switch,unit_test,integration_test,benchmark,notes
11,DSA (DeepSeek V3.2 / Kimi K2.x),MoE Router,prefill,"[16384,6144]x[6144,256]","mlp.gate (MoEGate; NOT ReplicatedLinear) + TopK","python/sglang/srt/models/deepseek_v2.py:436 (class); 599 (instantiate); python/sglang/srt/layers/moe/topk.py:462 (TopK)","python/sglang/srt/models/deepseek_v2.py:1057 (normal); 950 (dual-stream); 1221 (deepep)","CUDA large-M: linear_bf16_fp32 (torch.mm bf16->fp32 cuBLAS) OR deep_gemm_wrapper.gemm_nt_bf16bf16f32; small-M (<=16): JIT _jit_dsv3_router_gemm; AMD: aiter_dsv3_router_gemm. TopK: biased_grouped_topk_gpu -> sgl_kernel.fused_topk_deepseek OR JIT moe_fused_gate","python/sglang/jit_kernel/dsv3_router_gemm.py:65 (JIT); python/sglang/jit_kernel/dsv4/gemm.py:16 (linear_bf16_fp32); python/sglang/srt/layers/moe/topk.py:1383 (biased_grouped_topk)","SGLANG_OPT_USE_JIT_KERNEL_GROUPED_TOPK; is_deterministic",pytest test/registered/jit/test_dsv3_router_gemm.py; pytest sgl-kernel/tests/test_moe_topk_sigmoid.py; pytest test/registered/kernels/test_fused_topk_deepseek.py,python3 test/manual/test_deepseek_v31.py,python3 test/registered/jit/benchmark/bench_dsv3_router_gemm.py; python3 benchmark/kernels/deepseek/benchmark_deepgemm_dsv3_router_gemm_blackwell.py,"No Gaussian noise; e_score_correction_bias is noaux_tc learned bias"
12,DSA (DeepSeek V3.2 / Kimi K2.x),MoE GateUp GroupGEMM,prefill,"256 x [M_e,6144]x[6144,2*2048/8=512], M_e~512","experts.w13_weight (FusedMoE or DeepEPMoE)","python/sglang/srt/layers/moe/fused_moe_triton/layer.py:138 (FusedMoE); python/sglang/srt/layers/moe/ep_moe/layer.py:49 (DeepEPMoE); python/sglang/srt/models/deepseek_v2.py:624 (instantiate)","python/sglang/srt/models/deepseek_v2.py:1105 (normal); 982 (dual-stream); 1398 (deepep)","DeepEP NORMAL: deep_gemm.m_grouped_fp8_gemm_nt_contiguous (DeepGemmRunnerCore._run_contiguous_gemm); TP-only Triton: fused_experts -> invoke_fused_moe_kernel; cutlass: cutlass_fused_experts_fp8; flashinfer_trtllm/cutedsl variants","python/sglang/srt/layers/moe/moe_runner/deep_gemm.py:164; deep_gemm_wrapper.entrypoint.py:112; python/sglang/srt/layers/moe/moe_runner/triton_utils/fused_moe.py:227; python/sglang/srt/layers/quantization/fp8.py:1998","--moe-a2a-backend {none|deepep|mooncake|nixl|mori|flashinfer|megamoe}; --moe-runner-backend {auto|deep_gemm|triton|flashinfer_trtllm|cutlass|flashinfer_cutedsl|triton_kernels}; --deepep-mode {auto|normal|low_latency}; SGLANG_ENABLE_JIT_DEEPGEMM",pytest sgl-kernel/tests/test_fp8_blockwise_moe.py; pytest test/registered/moe/test_moe_runners_1gpu.py; pytest test/registered/moe/test_moe_runners_4gpu.py; pytest test/registered/moe/test_fused_moe.py; pytest test/registered/moe/test_triton_fused_moe.py; pytest test/registered/moe/test_cutedsl_moe.py; pytest test/registered/moe/test_moe_ep.py,python3 test/manual/test_deepseek_v31.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_group_gemm.py; python3 benchmark/kernels/fused_moe_triton/benchmark_sglang_fused_moe_triton.py; python3 benchmark/kernels/deepep/tuning_deepep.py,"is_extend_in_batch=True forces NORMAL mode (contiguous grouped GEMM)"
13,DSA (DeepSeek V3.2 / Kimi K2.x),MoE Down GroupGEMM,prefill,"256 x [M_e,intermediate/TP=256]x[256,6144]","experts.w2_weight",python/sglang/srt/layers/moe/fused_moe_triton/layer.py:138; python/sglang/srt/models/deepseek_v2.py:624,same as op 12 (second GEMM in the runner),"NORMAL: deep_gemm.m_grouped_fp8_gemm_nt_contiguous (deep_gemm.py:286); silu+quant between GEMMs via silu_and_mul_contig_post_quant","python/sglang/srt/layers/moe/moe_runner/deep_gemm.py:286; deep_gemm_wrapper.entrypoint.py:112","--moe-a2a-backend; --moe-runner-backend; --deepep-mode",pytest sgl-kernel/tests/test_fp8_blockwise_moe.py; pytest test/registered/moe/test_moe_runners_1gpu.py; pytest test/registered/moe/test_moe_runners_4gpu.py,python3 test/manual/test_deepseek_v31.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_group_gemm.py,"Middle dim 256 = moe_intermediate_size (2048) / TP (8), NOT expert count"
14,DSA (DeepSeek V3.2 / Kimi K2.x),Q_a (down-proj),decode,"[16,6144]x[6144,2048]",same as op 1 (fused_qkv_a_proj_with_mqa),same as op 1,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:284,"Small-M SM>=90 bf16 -> dsv3_fused_a_gemm (M=16 triggers); otherwise same as op 1","python/sglang/jit_kernel/fused_a_gemm.py:34; sgl_kernel.dsv3_fused_a_gemm",use_min_latency_fused_a_gemm (auto),pytest sgl-kernel/tests/test_dsv3_fused_a_gemm.py; pytest test/registered/jit/test_dsv3_fused_a_gemm.py; pytest test/registered/jit/test_cutedsl_dsv3_fused_a_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 test/registered/jit/benchmark/bench_dsv3_fused_a_gemm.py,"M=16 typically hits fast path"
15,DSA (DeepSeek V3.2 / Kimi K2.x),Q_b (up-proj),decode,"[16,2048]x[2048,16384]",same as op 2,same as op 2,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:383,same as op 2,python/sglang/srt/layers/quantization/fp8_utils.py:432,--fp8-gemm-backend,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,
16,DSA (DeepSeek V3.2 / Kimi K2.x),KV_a (down-proj),decode,"[16,6144]x[6144,576]",same as op 3,same as op 3,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:292,same as op 3,python/sglang/srt/layers/quantization/fp8_utils.py:432,--fp8-gemm-backend,pytest sgl-kernel/tests/test_dsv3_fused_a_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,
17,DSA (DeepSeek V3.2 / Kimi K2.x),q_nope absorb BMM,decode,"[16,64,192]x[64,192,512]","self.w_kc (precomputed from kv_b_proj at weight-load)","python/sglang/srt/models/deepseek_v2.py:1761-1767 (attrs); python/sglang/srt/models/deepseek_common/deepseek_weight_loader.py:628-666 (precompute)","python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:449-538","CUDA bf16 default: torch.bmm; CUDA FP8 per-tensor: bmm_fp8 (sgl_kernel.bmm_fp8); DeepGEMM block-FP8: grouped_gemm_nt_f8f8bf16_masked; ROCm gfx95 MXFP4: batched_gemm_afp4wfp4_pre_quant; ROCm gfx95 FP8: batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant; fused into attention: mla_bmm_then_unified_attention","python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:93-108 (bmm_fp8 wrapper); sgl_kernel.bmm_fp8; deep_gemm.fp8_m_grouped_gemm_nt_masked",SGL_USE_DEEPGEMM_BMM (load-time),pytest sgl-kernel/tests/test_bmm_fp8.py,python3 test/manual/mla/test_mla_fp8.py; python3 test/manual/mla/test_mla_deepseek_v3.py,,"_can_fuse_bmm_into_attention (forward_mla.py:205) gates attention-fusion; disabled for deepgemm_bmm/hip/FP8"
18,DSA (DeepSeek V3.2 / Kimi K2.x),v absorb BMM,decode,"[16,64,512]x[64,512,256]","self.w_vc (same precomputation)",same as op 17,"python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:822-973","Symmetrical to op 17: torch.bmm / bmm_fp8 / grouped_gemm_nt_f8f8bf16_masked / batched_gemm_afp4wfp4 / batched_gemm_a8w8",same as op 17,SGL_USE_DEEPGEMM_BMM,pytest sgl-kernel/tests/test_bmm_fp8.py,python3 test/manual/mla/test_mla_fp8.py; python3 test/manual/mla/test_mla_deepseek_v3.py,,
19,DSA (DeepSeek V3.2 / Kimi K2.x),O_proj,decode,"[16,16384]x[16384,6144]",same as op 5,same as op 5,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py:986,same as op 5,python/sglang/srt/layers/quantization/fp8_utils.py:432,--fp8-gemm-backend,pytest sgl-kernel/tests/test_fp8_blockwise_gemm.py,python3 test/manual/mla/test_mla_deepseek_v3.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_gemm.py,
20,DSA (DeepSeek V3.2 / Kimi K2.x),Index_Q,decode,"[16,6144]x[6144,4096]",same as op 6,same as op 6,same as op 6,same as op 6,same as op 6,SGLANG_OPT_USE_DSA_INDEXER_FUSION,pytest test/registered/jit/test_dsv32_indexer_fusion.py; pytest test/registered/kernels/test_dsa_indexer.py,python3 test/manual/test_deepseek_v31.py; python3 test/manual/8-gpu-models/test_dsa_models_basic.py,python3 test/registered/jit/benchmark/bench_dsv4_fp4_indexer.py,
21,DSA (DeepSeek V3.2 / Kimi K2.x),Index_K,decode,"[16,6144]x[6144,128]",same as op 7,same as op 7,same as op 7,same as op 7,same as op 7,SGLANG_DSA_USE_FUSED_STORE,pytest test/registered/jit/test_dsv32_indexer_fusion.py; pytest test/registered/kernels/test_dsa_indexer.py,python3 test/manual/test_deepseek_v31.py,,
22,DSA (DeepSeek V3.2 / Kimi K2.x),Index_Score,decode,"Q:[16,32,128] x K_cache:[B,T,128]",Indexer._get_topk_paged,python/sglang/srt/layers/attention/dsa/dsa_indexer.py:863,python/sglang/srt/layers/attention/dsa/dsa_indexer.py:965-1020,"CUDA auto/deepgemm: deep_gemm.fp8_paged_mqa_logits (deepgemm_paged_mqa_logits_native or _split); ROCm: aiter.ops.triton.pa_mqa_logits.deepgemm_fp8_paged_mqa_logits; Blackwell SM100: CuteDSLPagedMQALogitsRunner.forward; NPU: torch_npu.npu_lightning_indexer; topk: metadata.topk_transform -> topk_transform_512_v2","python/sglang/jit_kernel/dsa/paged_mqa_logits.py:10-152; deep_gemm.fp8_paged_mqa_logits; python/sglang/jit_kernel/dsv4/topk.py:86","--dsa-paged-mqa-logits-backend {auto|deepgemm|aiter|cutedsl}; SGLANG_OPT_USE_TOPK_V2",pytest test/registered/kernels/test_deepgemm_paged_mqa_logits.py; pytest test/registered/kernels/test_cute_dsl_fp8_paged_mqa_logits.py; pytest test/registered/kernels/test_sm120_paged_mqa_logits.py; pytest test/registered/kernels/test_dsa_indexer.py; pytest test/registered/jit/deepseek_v4/test_topk_v2.py,python3 test/manual/test_deepseek_v31.py; python3 test/manual/8-gpu-models/test_dsa_models_basic.py,python3 benchmark/kernels/deepseek/benchmark_cute_dsl_fp8_paged_mqa_logits.py; python3 test/registered/jit/benchmark/bench_topk.py,"init/local token mask (_mask_init_and_local_tokens) forces sink/local to +inf pre-topk"
23,DSA (DeepSeek V3.2 / Kimi K2.x),MoE Router,decode,"[16,6144]x[6144,256]",same as op 11,same as op 11,"python/sglang/srt/models/deepseek_v2.py:1221 (deepep path)","Decode M=16 triggers _jit_dsv3_router_gemm (SM100/103 M<=4; others M<=16); AMD: aiter_dsv3_router_gemm","python/sglang/jit_kernel/dsv3_router_gemm.py:65",SGLANG_OPT_USE_JIT_KERNEL_GROUPED_TOPK,pytest test/registered/jit/test_dsv3_router_gemm.py,python3 test/manual/test_deepseek_v31.py,python3 test/registered/jit/benchmark/bench_dsv3_router_gemm.py,
24,DSA (DeepSeek V3.2 / Kimi K2.x),MoE GateUp GroupGEMM,decode,"8 x [M_local,6144]x[6144,4096], M_local~16","experts.w13_weight (DeepEPMoE, LOW_LATENCY)",same as op 12,"python/sglang/srt/models/deepseek_v2.py:1398 (forward_deepep)","DeepGemmRunnerCore._run_masked_gemm -> deep_gemm.fp8_m_grouped_gemm_nt_masked (MASKED). is_extend_in_batch=False + AUTO -> LOW_LATENCY. Runner NOT swapped under cuda graph, only DeepEP mode NORMAL->LOW_LATENCY. Triton fallback: fused_experts (moe_runner_backend=triton or no A2A). BF16 fallback: SGLANG_DEEPEP_BF16_DISPATCH -> Triton","python/sglang/srt/layers/moe/moe_runner/deep_gemm.py:362 (_run_masked_gemm); deep_gemm_wrapper.entrypoint.py:27; python/sglang/srt/layers/moe/token_dispatcher/deepep.py:975","--moe-a2a-backend {deepep|mooncake|nixl|mori}; --moe-runner-backend {auto|deep_gemm|triton}; --deepep-mode {auto|low_latency}; SGLANG_DEEPEP_BF16_DISPATCH (forces Triton); SGLANG_DEEPEP_NUM_MAX_DISPATCH_TOKENS_PER_RANK",pytest sgl-kernel/tests/test_fp8_blockwise_moe.py; pytest test/registered/moe/test_moe_runners_1gpu.py; pytest test/registered/moe/test_moe_runners_4gpu.py; pytest test/registered/moe/test_moe_ep.py; pytest test/registered/moe/test_cutedsl_moe.py,python3 test/manual/test_deepseek_v31.py; python3 test/registered/models_e2e/test_deepseek_v3_mtp.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_group_gemm.py; python3 benchmark/kernels/deepep/tuning_deepep.py,"Critical: cuda-graph does NOT switch runner to Triton; masked grouped GEMM fires under cuda-graph"
25,DSA (DeepSeek V3.2 / Kimi K2.x),MoE Down GroupGEMM,decode,"[M_local,2048]x[2048,6144]",same as op 24 (experts.w2_weight),same as op 24,same as op 24,"_run_masked_gemm second GEMM: deep_gemm.fp8_m_grouped_gemm_nt_masked; between GEMMs: _varlen_deep_gemm_silu_mul_quant","python/sglang/srt/layers/moe/moe_runner/deep_gemm.py:478",same as op 24,pytest sgl-kernel/tests/test_fp8_blockwise_moe.py; pytest test/registered/moe/test_moe_runners_1gpu.py,python3 test/manual/test_deepseek_v31.py,python3 benchmark/kernels/deepseek/benchmark_deepgemm_fp8_group_gemm.py,
26,DSA (DeepSeek V3.2 / Kimi K2.x),Flash Decoding (sparse) MQA,decode,"q_absorbed:[1,64,16,512] x c_kv:[1,1,2048,512]->[1,64,16,512]","DeepseekSparseAttnBackend.forward_decode -> _forward_flashmla_sparse","python/sglang/srt/layers/attention/dsa_backend.py:331 (class); attention_registry.py:111 (register); dsa_backend.py:2036 (forward_decode)","python/sglang/srt/layers/attention/dsa_backend.py:2232 (_forward_flashmla_sparse)","flashmla_sparse: sgl_kernel.flash_mla.flash_mla_sparse_fwd -> torch.ops.sgl_kernel.sparse_prefill_fwd (dedicated DSA sparse kernel); flashmla_kv: flash_mla_with_kvcache (sparse_decode_fwd, FP8 KV); fa3: flash_attn_with_kvcache; tilelang: tilelang_sparse_fwd; aiter: aiter.mla.mla_decode_fwd; trtllm: flashinfer.decode.trtllm_batch_decode_with_kv_cache_mla","sgl-kernel/python/sgl_kernel/flash_mla.py:310 (flash_mla_sparse_fwd); :87 (flash_mla_with_kvcache); python/sglang/srt/layers/attention/dsa/tilelang_kernel.py (tilelang_sparse_fwd)","--attention-backend dsa; --dsa-decode-backend {flashmla_sparse|flashmla_kv|fa3|tilelang|aiter|trtllm}; SGLANG_DSA_FUSE_TOPK",pytest sgl-kernel/tests/test_flash_attn_sparse.py; pytest sgl-kernel/tests/test_flashmla.py; pytest test/registered/kernels/test_flash_mla_backends.py; pytest test/registered/mla/test_flashmla.py,python3 test/manual/test_deepseek_v31.py; python3 test/manual/8-gpu-models/test_dsa_models_basic.py,,"Your shape (MQA k_head=1, page=1, topk) exactly matches flashmla_sparse. topk_indices from op 22 becomes indices arg via transform_index_page_table_decode"
